waveform,frequency_hz,sample_rate_hz,samples_per_cycle,filter_cutoff_hz,band_upper_hz,raw_error_rms_mv,filtered_error_rms_mv,filter_delta_rms_mv,raw_peak_v,raw_min_v,filtered_peak_v,filtered_min_v
sinc,10,1000000,100000,100,20,0.233940812070761,3.75249798375086,3.7563733602022,3.15010989010989,1.3240293040293,3.14010323607291,1.33057355298702
sinc,100,1000000,10000,1000,200,0.233967473861519,3.77235671057541,3.77678090005908,3.15010989010989,1.3240293040293,3.14004720867782,1.33060822947111
sinc,1000,1000000,1000,10000,2000,0.232519289990327,3.97674867345385,3.98094408011747,3.15010989010989,1.3240293040293,3.13951588637939,1.33096731771431
sinc,10000,1000000,100,100000,20000,0.230587589674307,2.13673267059561,2.14650391188359,3.15010989010989,1.3240293040293,3.13377503846976,1.33454342999968
sinc,50000,1000000,20,450000,100000,0.220826404814465,2.68315206578276,2.68546140517978,3.143663003663,1.32483516483516,3.09898425811102,1.35331393992396
sinc,100000,1000000,10,450000,200000,0.218981350779914,6.55493357724043,6.54584163993747,3.1251282051282,1.33208791208791,2.97050267947194,1.42497454791813
sweep,1,1000000,1000000,50,1,0.232662602333944,3.4708512282278,3.47863712087703,3.07677655677656,1.65040293040293,3.05634433772045,1.67269021339422
sweep,10,1000000,100000,50,10,0.232612436148617,71.0476120255953,71.0487977998044,3.15010989010989,0.14989010989011,3.12231064893047,0.228818560271607
sweep,100,1000000,10000,200,100,0.232492080660805,194.670172237758,194.672239271168,3.15010989010989,0.14989010989011,3.13158066658224,0.204247283852278
sweep,1000,1000000,1000,2000,1000,0.232225738834079,189.778124477617,189.780346642826,3.15010989010989,0.14989010989011,3.14814998437499,0.155644905890698
sweep,10000,1000000,100,20000,10000,0.232443306096537,205.339994414894,205.340667818568,3.15010989010989,0.14989010989011,3.14990420629971,0.150560571440415
sweep,50000,1000000,20,100000,50000,0.23221844880617,268.389333702811,268.391121323525,3.15010989010989,0.14989010989011,3.15007742931511,0.150074154195552
sweep,100000,1000000,10,200000,100000,0.233159779724337,330.324013165835,330.326051200093,3.15010989010989,0.14989010989011,3.15009628244289,0.150006731006327
